date,time_of_purchase,customer_name,phone_number,age,order_type,item_bought,is_combo,quantity,item_price_total,coupon_code,coupon_used,discount_amount,final_amount,payment_method,rating,review
2026-02-01,19:52,Kavya Raj,+91 7799371240,,Walk-in,Chicken Leg (2 pc),No,1,130,karur_kalam,No,0,130,GPay,5,
2026-02-01,20:31,Nithya Babu,+91 9120826773,33,Phone Call,Chicken Wings (5 pc),No,1,130,karur_kalam,No,0,130,GPay,,"Wings semma crispy ah irundhuchu, thanks anna"
2026-02-01,18:49,Kumar S,+91 8467854458,46,Walk-in,Chicken Wings (5 pc),No,1,130,karur_kalam,No,0,130,Card,3,
2026-02-01,21:26,Ravi K,+91 7054932966,47,Phone Call,Chicken Wings (5 pc),No,2,260,karur_kalam,No,0,260,PhonePe,5,"Chicken leg romba soft ah vekachu irundhuchu, super"
2026-02-01,20:37,Meena Prasad,+91 6902294131,50,Walk-in,Chicken Leg (2 pc),No,1,130,karur_kalam,No,0,130,GPay,5,Very tasty and quick service too
2026-02-01,20:36,Kavya K,+91 6135290965,42,Walk-in,Chicken Leg (2 pc),No,1,130,karur_kalam,Yes,13,117,GPay,3,"Average, expected more spice"
2026-02-01,19:58,,+91 8843443757,37,Phone Call,Chicken Lollipop (4 pc),No,1,130,karur_kalam,No,0,130,GPay,4,"Great value for money, fresh and hot"
2026-02-01,20:43,Anitha Raj,+91 8738757177,35,Walk-in,Chicken Wings (5 pc),No,1,130,karur_kalam,Yes,13,117,PhonePe,2,
2026-02-01,18:42,Muthu Babu,+91 6455623869,58,Phone Call,Chicken Wings (5 pc),No,1,130,karur_kalam,No,0,130,PhonePe,,"Best chicken lollipop I've had, will come again"
2026-02-01,21:51,Suresh K,+91 6531003309,24,Phone Call,Chicken Leg (2 pc),No,1,130,karur_kalam,No,0,130,GPay,4,
2026-02-01,22:20,,+91 8965137098,35,Phone Call,Chicken Wings (5 pc),No,1,130,karur_kalam,No,0,130,GPay,,"Vera level taste, oru sight ah irundhuchu"
2026-02-01,19:39,Rajesh Kumar,+91 8339421047,17,Phone Call,Chicken Leg (2 pc),No,1,130,karur_kalam,No,0,130,PhonePe,4,
2026-02-01,20:36,Dinesh K,+91 9498941343,38,Walk-in,Chicken Wings (5 pc),No,1,130,karur_kalam,No,0,130,Cash,3,"It was fine, nothing special"
2026-02-01,18:20,Nithya Babu,+91 9120826773,33,Phone Call,Chicken Leg (2 pc),No,1,130,karur_kalam,No,0,130,GPay,5,"Nalla crispy ah irundhuchu, quantity um super"
2026-02-01,20:10,Aishwarya,+91 7688767677,25,Walk-in,Chicken Lollipop (4 pc),No,2,260,karur_kalam,Yes,26,234,Cash,2,"Too salty, not up to the mark today"
2026-02-01,21:28,Deepa S,+91 6112805982,,Phone Call,Chicken Leg (2 pc),No,1,130,karur_kalam,No,0,130,PhonePe,,
2026-02-01,19:52,Dinesh M,+91 7614293968,36,Phone Call,Chicken Wings (5 pc),No,2,260,karur_kalam,No,0,260,GPay,4,"Chicken leg romba soft ah vekachu irundhuchu, super"
2026-02-01,20:27,Abdul Kareem S,+91 9008484086,26,Phone Call,Chicken Lollipop (4 pc),No,2,260,karur_kalam,No,0,260,PhonePe,,"Ultimate taste anna, naa daily varen"
2026-02-01,22:50,Selvam M,+91 8849825449,,Walk-in,Chicken Wings (5 pc),No,1,130,karur_kalam,No,0,130,Cash,4,"Amazing bbq stall, must try in this area"
2026-02-01,19:47,Bala K,+91 7325367294,55,Walk-in,Chicken Lollipop (4 pc),No,2,260,karur_kalam,No,0,260,PhonePe,,"Freshly grilled and juicy, highly recommend"
2026-02-01,20:44,Sivakumar,+91 7856543102,46,Walk-in,Chicken Leg (2 pc),No,1,130,karur_kalam,Yes,13,117,Card,5,"Kalakalappa irundhuchu, next time friends oda varen"
2026-02-01,20:36,Vignesh Raj,+91 6244550229,57,Phone Call,Chicken Lollipop (4 pc),No,1,130,karur_kalam,No,0,130,GPay,4,"Great value for money, fresh and hot"
2026-02-01,18:23,Muthu,+91 9012770632,56,Walk-in,Chicken Leg (2 pc),No,2,260,karur_kalam,No,0,260,GPay,5,
2026-02-01,18:04,Prakash Prasad,+91 8687833918,43,Walk-in,Chicken Wings (5 pc),No,1,130,karur_kalam,No,0,130,Cash,,"Freshly grilled and juicy, highly recommend"
2026-02-01,17:24,Ayesha Raj,+91 6265423511,39,Phone Call,Chicken Wings (5 pc),No,1,130,karur_kalam,No,0,130,Cash,,
2026-02-01,20:04,Karthik S,+91 9131712748,,Phone Call,Chicken Wings (5 pc),No,1,130,karur_kalam,Yes,13,117,PhonePe,,Very tasty and quick service too
2026-02-01,19:13,Rajesh Kumar,+91 8339421047,17,Phone Call,Chicken Wings (5 pc),No,1,130,karur_kalam,No,0,130,PhonePe,5,"Nalla crispy ah irundhuchu, quantity um super"
2026-02-01,20:15,Swathi K,+91 8191088398,24,Phone Call,Chicken Wings (5 pc),No,1,130,karur_kalam,No,0,130,GPay,5,"Great value for money, fresh and hot"
2026-02-01,17:23,Yazhini Raj,+91 7898364037,39,Walk-in,Chicken Leg (2 pc),No,1,130,karur_kalam,Yes,13,117,Paytm,4,"Ultimate taste anna, naa daily varen"
2026-02-01,19:44,,+91 7710910430,18,Walk-in,Chicken Lollipop (4 pc),No,1,130,karur_kalam,No,0,130,GPay,4,"Vera level taste, oru sight ah irundhuchu"
2026-02-01,18:20,Harish Kumar,+91 9214895134,29,Phone Call,Chicken Lollipop (4 pc),No,1,130,karur_kalam,No,0,130,Paytm,4,"Excellent flavour, family panindhalum enjoy pannanga"
2026-02-01,20:19,Gopal R,+91 7655110475,32,Phone Call,Chicken Lollipop (4 pc),No,1,130,karur_kalam,No,0,130,GPay,4,"Amazing bbq stall, must try in this area"
2026-02-01,21:36,Vignesh,+91 7758842524,22,Walk-in,Chicken Wings (5 pc),No,1,130,karur_kalam,No,0,130,Cash,2,"Not fresh today, taste changed"
2026-02-01,22:43,Dinesh S,+91 7465787133,,Walk-in,Chicken Wings (5 pc),No,1,130,karur_kalam,No,0,130,PhonePe,4,
2026-02-01,18:59,Vidya,+91 6489325288,15,Phone Call,Chicken Wings (5 pc),No,1,130,karur_kalam,No,0,130,GPay,,
2026-02-01,22:11,Naveen,+91 9841459332,45,Walk-in,Chicken Lollipop (4 pc),No,1,130,karur_kalam,No,0,130,GPay,5,
2026-02-01,18:36,Joseph Prasad,+91 6756551256,59,Phone Call,Chicken Lollipop (4 pc),No,1,130,karur_kalam,No,0,130,Cash,4,"Super spicy and juicy, best bbq in area"
2026-02-01,18:00,Iniya K,+91 9291486528,20,Phone Call,Chicken Lollipop (4 pc),No,1,130,karur_kalam,No,0,130,PhonePe,5,"Kalakalappa irundhuchu, next time friends oda varen"
2026-02-01,21:46,Rajesh M,+91 9504773586,42,Walk-in,Chicken Lollipop (4 pc),No,1,130,karur_kalam,No,0,130,GPay,2,
2026-02-01,20:27,Nithya Prasad,+91 6241038657,20,Walk-in,Chicken Lollipop (4 pc),No,1,130,karur_kalam,No,0,130,Cash,4,"Freshly grilled and juicy, highly recommend"
2026-02-01,19:04,Divya Kumar,+91 9057662702,47,Phone Call,Chicken Wings (5 pc),No,1,130,karur_kalam,No,0,130,GPay,4,"Chicken leg romba soft ah vekachu irundhuchu, super"
2026-02-01,18:19,Selvam S,+91 7172788957,54,Phone Call,Chicken Lollipop (4 pc),No,1,130,karur_kalam,No,0,130,Paytm,4,"Super spicy and juicy, best bbq in area"
2026-02-01,21:09,,+91 7875099770,15,Phone Call,Chicken Leg (2 pc),No,2,260,karur_kalam,No,0,260,GPay,5,"Kalakalappa irundhuchu, next time friends oda varen"
2026-02-01,20:35,Karthik S,+91 9131712748,60,Phone Call,Chicken Lollipop (4 pc),No,1,130,karur_kalam,No,0,130,PhonePe,5,
2026-02-01,19:40,Arun Babu,+91 8940781618,33,Walk-in,Chicken Lollipop (4 pc),No,1,130,karur_kalam,Yes,13,117,PhonePe,5,
2026-02-01,18:13,Suresh,+91 7721510702,51,Walk-in,Chicken Leg (2 pc),No,1,130,karur_kalam,No,0,130,GPay,5,
2026-02-01,21:50,Muthu M,+91 7476870146,23,Walk-in,Chicken Lollipop (4 pc),No,1,130,karur_kalam,No,0,130,GPay,5,
2026-02-01,18:20,Divya Prasad,+91 6654051531,52,Phone Call,Chicken Lollipop (4 pc),No,1,130,karur_kalam,No,0,130,GPay,4,
2026-02-01,18:15,Abdul Kareem S,+91 9008484086,26,Phone Call,Chicken Leg (2 pc),No,1,130,karur_kalam,No,0,130,GPay,4,Very tasty and quick service too
2026-02-01,21:51,Selvam Kumar,+91 9522395590,,Walk-in,Chicken Leg (2 pc),No,1,130,karur_kalam,No,0,130,Paytm,5,
2026-02-01,20:51,Dinesh S,+91 7465787133,,Phone Call,Chicken Leg (2 pc),No,1,130,karur_kalam,No,0,130,GPay,3,
2026-02-01,19:40,Priya,+91 6292185156,52,Phone Call,Chicken Lollipop (4 pc),No,1,130,karur_kalam,Yes,13,117,PhonePe,,
2026-02-01,20:58,Vignesh M,+91 8392644220,59,Phone Call,Chicken Leg (2 pc),No,1,130,karur_kalam,No,0,130,Cash,4,Very tasty and quick service too
2026-02-02,17:45,Manoj,+91 9567661825,22,Walk-in,Chicken Wings (5 pc),No,2,260,karur_kalam,Yes,26,234,Paytm,,"Great value for money, fresh and hot"
2026-02-02,19:46,Karthik M,+91 8777520471,,Walk-in,Chicken Leg (2 pc),No,1,130,karur_kalam,No,0,130,Cash,4,Very tasty and quick service too
2026-02-02,20:43,Mary Devi,+91 8053773515,,Phone Call,Chicken Lollipop (4 pc),No,2,260,karur_kalam,No,0,260,PhonePe,4,
2026-02-02,20:01,Muthu Raj,+91 6541152621,50,Walk-in,Chicken Wings (5 pc),No,1,130,karur_kalam,No,0,130,GPay,5,"Great value for money, fresh and hot"
2026-02-02,22:34,Elango Prasad,+91 6822782489,,Phone Call,Chicken Lollipop (4 pc),No,1,130,karur_kalam,Yes,13,117,GPay,,
2026-02-02,17:52,,+91 8024026811,45,Walk-in,Chicken Leg (2 pc),No,1,130,karur_kalam,No,0,130,Cash,5,
2026-02-02,19:31,Elango S,+91 9872774348,46,Phone Call,Chicken Leg (2 pc),No,1,130,karur_kalam,No,0,130,GPay,5,"Loved the combo, perfect spice level"
2026-02-02,19:14,Abdul Kareem K,+91 7734670656,25,Phone Call,Chicken Leg (2 pc),No,1,130,karur_kalam,No,0,130,GPay,4,"Nalla crispy ah irundhuchu, quantity um super"
2026-02-02,17:57,Arun,+91 8869380686,,Walk-in,Chicken Lollipop (4 pc),No,1,130,karur_kalam,No,0,130,GPay,,"Ultimate taste anna, naa daily varen"
2026-02-02,18:58,Farhan R,+91 7172233206,20,Walk-in,Chicken Wings (5 pc),No,1,130,karur_kalam,No,0,130,PhonePe,4,"Chicken leg romba soft ah vekachu irundhuchu, super"
2026-02-02,21:37,Pradeep Prasad,+91 6430305486,,Phone Call,Chicken Wings (5 pc),No,1,130,karur_kalam,No,0,130,Cash,4,"Loved the combo, perfect spice level"
2026-02-02,18:18,Pradeep Devi,+91 7757059640,19,Phone Call,Chicken Leg (2 pc),No,1,130,karur_kalam,No,0,130,GPay,,
2026-02-02,20:43,Swathi Prasad,+91 7982595269,34,Walk-in,Chicken Leg (2 pc),No,2,260,karur_kalam,No,0,260,Cash,4,"Semma taste bro, chicken romba soft ah irundhuchu"
2026-02-02,21:49,Lakshmi K,+91 7074505444,46,Walk-in,Chicken Leg (2 pc),No,1,130,karur_kalam,No,0,130,Cash,5,
2026-02-02,20:23,Swathi,+91 6812191361,51,Phone Call,Chicken Leg (2 pc),No,1,130,karur_kalam,No,0,130,GPay,3,Quantity konjam kammiya irundhuchu but taste okay
2026-02-02,18:01,Meena,+91 6233030705,60,Walk-in,Chicken Wings (5 pc),No,1,130,karur_kalam,No,0,130,GPay,4,
2026-02-02,21:05,Anitha S,+91 6477005411,54,Phone Call,Chicken Lollipop (4 pc),No,1,130,karur_kalam,No,0,130,GPay,4,"Nalla crispy ah irundhuchu, quantity um super"
2026-02-02,19:26,Yazhini R,+91 9582029702,19,Phone Call,Chicken Lollipop (4 pc),No,1,130,karur_kalam,No,0,130,PhonePe,3,"Average, expected more spice"
2026-02-02,20:52,Harish,+91 9229034944,42,Walk-in,Chicken Wings (5 pc),No,2,260,karur_kalam,No,0,260,GPay,5,"Loved the combo, perfect spice level"
2026-02-02,19:06,,+91 6974993097,25,Phone Call,Chicken Leg (2 pc),No,1,130,karur_kalam,No,0,130,PhonePe,5,
2026-02-02,18:33,Mary,+91 7431611724,16,Phone Call,Chicken Lollipop (4 pc),No,1,130,karur_kalam,No,0,130,PhonePe,,
2026-02-02,20:40,John Devi,+91 8207446660,52,Walk-in,Chicken Wings (5 pc),No,1,130,karur_kalam,No,0,130,PhonePe,4,
2026-02-02,19:37,Yazhini S,+91 7417248251,29,Walk-in,Chicken Leg (2 pc),No,1,130,karur_kalam,No,0,130,Paytm,5,"Vera level taste, oru sight ah irundhuchu"
2026-02-02,18:43,Suresh,+91 9873395004,46,Phone Call,Chicken Leg (2 pc),No,2,260,karur_kalam,No,0,260,Cash,5,"Super spicy and juicy, best bbq in area"
2026-02-02,18:49,Prakash,+91 7569725217,36,Walk-in,Chicken Leg (2 pc),No,1,130,karur_kalam,No,0,130,GPay,3,"It was fine, nothing special"
2026-02-02,20:40,Vijay,+91 9666760083,38,Walk-in,Chicken Wings (5 pc),No,1,130,karur_kalam,No,0,130,Cash,5,
2026-02-02,18:57,Naveen,+91 6689421044,44,Walk-in,Chicken Wings (5 pc),No,1,130,karur_kalam,No,0,130,GPay,4,"Great value for money, fresh and hot"
2026-02-02,17:32,Abdul Kareem S,+91 9008484086,,Phone Call,Chicken Leg (2 pc),No,1,130,karur_kalam,No,0,130,GPay,,
2026-02-02,20:40,Muthu Devi,+91 8890901001,41,Walk-in,Chicken Wings (5 pc),No,1,130,karur_kalam,No,0,130,,3,
2026-02-02,20:39,Vijay Kumar,+91 9506068536,20,Phone Call,Chicken Lollipop (4 pc),No,1,130,karur_kalam,No,0,130,Paytm,4,"Nalla crispy ah irundhuchu, quantity um super"
2026-02-02,21:18,Suresh K,+91 6531003309,24,Phone Call,Chicken Lollipop (4 pc),No,1,130,karur_kalam,No,0,130,GPay,5,"Chicken leg romba soft ah vekachu irundhuchu, super"
2026-02-02,22:18,Vignesh Prasad,+91 8300119721,47,Walk-in,Chicken Wings (5 pc),No,1,130,karur_kalam,Yes,13,117,Cash,,
2026-02-02,21:11,Muthu Raj,+91 8561100225,37,Walk-in,Chicken Leg (2 pc),No,1,130,karur_kalam,No,0,130,Cash,5,
2026-02-02,18:08,Divya K,+91 7185016315,,Phone Call,Chicken Lollipop (4 pc),No,1,130,karur_kalam,No,0,130,Paytm,,Very tasty and quick service too
2026-02-02,20:00,Arun Devi,+91 9972965902,45,Walk-in,Chicken Wings (5 pc),No,2,260,karur_kalam,No,0,260,Cash,3,
2026-02-02,18:48,Lakshmi S,+91 6637562890,,Walk-in,Chicken Wings (5 pc),No,2,260,karur_kalam,No,0,260,GPay,,Quantity konjam kammiya irundhuchu but taste okay
2026-02-02,17:25,Selvam S,+91 7866317797,20,Phone Call,Chicken Leg (2 pc),No,1,130,karur_kalam,No,0,130,PhonePe,4,"Super spicy and juicy, best bbq in area"
2026-02-02,18:42,Kumar M,+91 6916998543,57,Walk-in,Chicken Lollipop (4 pc),No,1,130,karur_kalam,No,0,130,GPay,5,"Freshly grilled and juicy, highly recommend"
2026-02-02,20:45,Dinesh Babu,+91 8549480831,30,Phone Call,Chicken Leg (2 pc),No,1,130,karur_kalam,No,0,130,GPay,4,
2026-02-02,22:25,Karthik Babu,+91 8488510272,60,Walk-in,Chicken Lollipop (4 pc),No,1,130,karur_kalam,No,0,130,Cash,4,
2026-02-02,18:57,Kalaivani R,+91 8740748217,37,Phone Call,Chicken Lollipop (4 pc),No,1,130,karur_kalam,Yes,13,117,PhonePe,4,"Amazing bbq stall, must try in this area"
2026-02-02,19:56,Bala Prasad,+91 6808697829,,Walk-in,Chicken Leg (2 pc),No,1,130,karur_kalam,No,0,130,GPay,3,"Decent taste, price sari than"
2026-02-02,20:12,Sivakumar Kumar,+91 8654722698,34,Walk-in,Chicken Leg (2 pc),No,2,260,karur_kalam,No,0,260,Paytm,4,
2026-02-02,21:51,Bala K,+91 7885158799,57,Walk-in,Chicken Lollipop (4 pc),No,1,130,karur_kalam,No,0,130,Cash,5,
2026-02-02,18:53,Prakash Devi,+91 7689702838,35,Walk-in,Chicken Wings (5 pc),No,1,130,karur_kalam,Yes,13,117,,4,
2026-02-02,18:41,,+91 7474517123,58,Phone Call,Chicken Lollipop (4 pc),No,1,130,karur_kalam,No,0,130,GPay,3,Quantity konjam kammiya irundhuchu but taste okay
2026-02-02,21:41,Vignesh Raj,+91 6666580043,54,Walk-in,Chicken Leg (2 pc),No,1,130,karur_kalam,No,0,130,Paytm,5,"Loved the combo, perfect spice level"
2026-02-02,21:09,,+91 7122816064,50,Walk-in,Chicken Lollipop (4 pc),No,1,130,karur_kalam,No,0,130,Cash,3,Quantity konjam kammiya irundhuchu but taste okay
2026-02-02,20:04,Nithya S,+91 7634351751,,Walk-in,Chicken Wings (5 pc),No,2,260,karur_kalam,No,0,260,PhonePe,4,"Freshly grilled and juicy, highly recommend"
2026-02-02,20:48,Swathi,+91 7688615335,36,Walk-in,Chicken Leg (2 pc),No,1,130,karur_kalam,No,0,130,GPay,,Quantity konjam kammiya irundhuchu but taste okay
2026-02-02,22:07,Muthu Devi,+91 6983584168,43,Phone Call,Chicken Leg (2 pc),No,1,130,karur_kalam,No,0,130,GPay,5,"Semma taste bro, chicken romba soft ah irundhuchu"
2026-02-02,19:41,Sowmya Babu,+91 6814124782,,Phone Call,Chicken Leg (2 pc),No,1,130,karur_kalam,No,0,130,GPay,4,
2026-02-02,18:16,Gowtham S,+91 6133613861,58,Walk-in,Chicken Lollipop (4 pc),No,1,130,karur_kalam,No,0,130,Cash,4,
2026-02-02,20:41,Rajesh,+91 6422842102,15,Walk-in,Chicken Leg (2 pc),No,1,130,karur_kalam,No,0,130,GPay,4,
2026-02-02,20:40,Ramesh Babu,+91 6449147660,45,Walk-in,Chicken Leg (2 pc),No,1,130,karur_kalam,No,0,130,PhonePe,3,"It was fine, nothing special"
2026-02-02,21:13,Gopal K,+91 8088210099,,Walk-in,Chicken Lollipop (4 pc),No,1,130,karur_kalam,No,0,130,PhonePe,5,"Vera level taste, oru sight ah irundhuchu"
2026-02-02,21:59,Divya K,+91 7185016315,53,Phone Call,Chicken Lollipop (4 pc),No,1,130,karur_kalam,No,0,130,PhonePe,3,"It was fine, nothing special"
2026-02-02,19:42,Prakash Devi,+91 7689702838,35,Phone Call,Chicken Leg (2 pc),No,1,130,karur_kalam,Yes,13,117,Paytm,,
2026-02-02,19:53,Priya Prasad,+91 9594929955,42,Walk-in,Chicken Leg (2 pc),No,1,130,karur_kalam,No,0,130,PhonePe,4,
2026-02-03,21:54,Vidya Raj,+91 7474517123,58,Walk-in,Chicken Lollipop (4 pc),No,2,260,karur_kalam,No,0,260,GPay,4,
2026-02-03,19:14,Ramesh K,+91 6080996930,50,Walk-in,Chicken Wings (5 pc),No,1,130,karur_kalam,No,0,130,PhonePe,,"Excellent flavour, family panindhalum enjoy pannanga"
2026-02-03,22:43,Kumar M,+91 6916998543,57,Walk-in,Chicken Leg (2 pc),No,1,130,karur_kalam,No,0,130,Card,4,
2026-02-03,17:48,Deepa M,+91 7845115447,53,Phone Call,Chicken Wings (5 pc),No,1,130,karur_kalam,No,0,130,Paytm,5,
2026-02-03,19:02,Karthik R,+91 6845146270,31,Walk-in,Chicken Lollipop (4 pc),No,1,130,karur_kalam,No,0,130,GPay,4,Very tasty and quick service too
2026-02-03,21:31,Joseph Raj,+91 8989266591,48,Walk-in,Chicken Lollipop (4 pc),No,1,130,karur_kalam,No,0,130,Cash,5,
2026-02-03,19:45,Selvam S,+91 7172788957,54,Walk-in,Chicken Lollipop (4 pc),No,1,130,karur_kalam,No,0,130,Cash,4,"Vera level taste, oru sight ah irundhuchu"
2026-02-03,19:15,Deepa S,+91 6112805982,42,Phone Call,Chicken Wings (5 pc),No,1,130,karur_kalam,No,0,130,PhonePe,4,
2026-02-03,18:25,Kumar,+91 8953278774,46,Walk-in,Chicken Wings (5 pc),No,1,130,karur_kalam,No,0,130,Cash,5,"Nalla crispy ah irundhuchu, quantity um super"
2026-02-03,20:59,Dhanush,+91 7797723692,52,Walk-in,Chicken Wings (5 pc),No,2,260,karur_kalam,No,0,260,Cash,3,"It was fine, nothing special"
2026-02-03,18:06,Murugan S,+91 7449353487,31,Phone Call,Chicken Lollipop (4 pc),No,1,130,karur_kalam,Yes,13,117,GPay,,"Amazing bbq stall, must try in this area"
2026-02-03,20:52,Sowmya Kumar,+91 8403317393,40,Phone Call,Chicken Lollipop (4 pc),No,2,260,karur_kalam,No,0,260,,5,"Super spicy and juicy, best bbq in area"
